,login,metric_1,metric_2
152,15083738,,0.0
153,21181475,96.0,1008.0
154,22476915,21.0,1557.0
155,22885041,20.0,976.0
156,22343080,19.0,1256.0
157,22080506,12.0,115.0
158,22244020,11.0,112.0
159,23293744,3.0,0.0
160,22694788,223.0,0.0
161,23219837,467.0,0.0
162,22977880,678.0,0.0
163,23109369,263.0,0.0
164,16640848,23.0,26.0
165,22505561,60.0,215.0
166,20208440,12.0,1582.0
167,11421210,65.0,453.0
168,22832788,67.0,393.0
169,22260493,30.0,11.0
170,22541906,41.0,236.0
171,15788793,11.0,0.0
172,19217238,39.0,5.0
173,22993544,250.0,0.0
174,23281191,22.0,0.0
175,20546812,20.0,0.0
176,23270801,3.0,0.0
177,23077164,14.0,1246.0
178,21167604,1.0,0.0
179,23303573,13.0,58124.0
180,23146061,3.0,5.0
181,22230023,2.0,0.0
182,23248286,16.0,813.0
183,22375695,19.0,100.0
184,23154646,638.0,0.0
185,23307997,19.0,973.0
186,23301612,99.0,0.0
187,22230013,3.0,0.0
188,23317398,7.0,81.0
189,23300812,74.0,218.0
190,22615503,19.0,69.0
191,22126356,37.0,23.0
192,23125487,7.0,1.0
193,23315319,25.0,35075.0
194,14312646,82.0,38.0
195,23336487,1.0,643.0
196,23342763,31.0,1843.0
197,19323257,34.0,0.0
198,23283270,1.0,0.0
199,22549938,18.0,342.0
